2026/06/09 16:28:29 [config] No .env file found, using environment variables
2026/06/09 16:28:29 🚰 NearTap API starting [development] on :8080
2026/06/09 16:28:29 [store] No service account found at ./serviceAccountKey.json — running in DEMO mode (in-memory)
2026/06/09 16:28:29 ✅ Server listening on http://localhost:8080
2026/06/09 16:28:33 [GET] /health [::1]:53214 200 0s
2026/06/09 16:28:42 [GET] /api/taps?radius=10 [::1]:53223 200 1ms
2026/06/09 16:28:49 [GET] /api/taps?radius=10 [::1]:53223 200 0s
2026/06/09 16:28:56 [GET] /api/taps?radius=10 [::1]:53223 200 0s
2026/06/09 16:29:15 [GET] /api/taps?radius=10 [::1]:53223 200 1ms
2026/06/09 16:29:24 [GET] /api/taps?radius=10 [::1]:53253 200 0s
2026/06/09 16:29:24 [GET] /api/taps?radius=10 [::1]:53254 200 1ms
2026/06/09 16:29:25 [GET] /api/taps?radius=10 [::1]:53254 200 0s
2026/06/09 16:29:25 [GET] /api/taps?radius=10 [::1]:53254 200 0s
2026/06/09 16:34:53 [OPTIONS] /api/taps?radius=10 [::1]:53388 200 0s
2026/06/09 16:34:53 [OPTIONS] /api/taps?radius=10 [::1]:53387 200 0s
2026/06/09 16:34:53 [GET] /api/taps?radius=10 [::1]:53387 200 0s
2026/06/09 16:34:53 [GET] /api/taps?radius=10 [::1]:53388 200 0s
2026/06/09 16:35:16 [GET] /api/taps?radius=10 [::1]:53388 200 1ms
2026/06/09 16:35:52 [GET] /api/taps?radius=10 [::1]:53388 200 1ms
2026/06/09 16:35:52 [GET] /api/taps?radius=10 [::1]:53387 200 0s
2026/06/09 16:36:25 [OPTIONS] /api/taps/2 [::1]:53387 200 0s
2026/06/09 16:36:25 [DELETE] /api/taps/2 [::1]:53387 200 0s
2026/06/09 16:37:57 [OPTIONS] /api/taps/3 [::1]:53463 200 0s
2026/06/09 16:37:57 [DELETE] /api/taps/3 [::1]:53463 200 0s
2026/06/09 16:37:59 [OPTIONS] /api/taps/1 [::1]:53463 200 0s
2026/06/09 16:37:59 [DELETE] /api/taps/1 [::1]:53463 200 0s
2026/06/09 16:48:28 [OPTIONS] /api/taps?radius=10 [::1]:56046 200 0s
2026/06/09 16:48:28 [OPTIONS] /api/taps?radius=10 [::1]:56046 200 0s
2026/06/09 16:48:28 [GET] /api/taps?radius=10 [::1]:56047 200 1ms
2026/06/09 16:48:28 [GET] /api/taps?radius=10 [::1]:56046 200 0s
2026/06/09 16:48:58 [GET] /api/taps?radius=10 [::1]:56046 200 0s
2026/06/09 16:48:58 [GET] /api/taps?radius=10 [::1]:56046 200 0s
2026/06/09 16:50:34 [GET] /api/taps?radius=10 [::1]:56583 200 0s
2026/06/09 16:50:34 [GET] /api/taps?radius=10 [::1]:56584 200 1ms
2026/06/09 16:51:56 [GET] /api/taps?radius=10 [::1]:56953 200 2ms
2026/06/09 16:51:56 [GET] /api/taps?radius=10 [::1]:56954 200 0s
2026/06/09 16:55:33 [OPTIONS] /api/taps?radius=10 [::1]:57887 200 0s
2026/06/09 16:55:33 [OPTIONS] /api/taps?radius=10 [::1]:57888 200 0s
2026/06/09 16:55:33 [GET] /api/taps?radius=10 [::1]:57887 200 0s
2026/06/09 16:55:33 [GET] /api/taps?radius=10 [::1]:57888 200 0s
2026/06/09 17:00:05 [GET] /api/taps?radius=10 [::1]:59551 200 0s
2026/06/09 17:00:05 [GET] /api/taps?radius=10 [::1]:59551 200 0s
2026/06/09 18:13:30 [OPTIONS] /api/taps?radius=10 [::1]:63011 200 0s
2026/06/09 18:13:30 [OPTIONS] /api/taps?radius=10 [::1]:63012 200 0s
2026/06/09 18:13:30 [GET] /api/taps?radius=10 [::1]:63011 200 0s
2026/06/09 18:13:30 [GET] /api/taps?radius=10 [::1]:63012 200 0s
2026/06/09 18:18:03 [GET] /api/taps?radius=10 [::1]:63179 200 0s
2026/06/09 18:18:03 [GET] /api/taps?radius=10 [::1]:63180 200 0s
